,frameId,x1,y1,x2,y2
0,1.0,916.0,28.0,1255.0,213.0
1,2.0,916.0,28.0,1255.0,213.0
2,3.0,916.0,28.0,1255.0,213.0
3,4.0,916.0,28.0,1255.0,213.0
4,5.0,916.0,28.0,1255.0,213.0
5,6.0,916.0,28.0,1255.0,213.0
6,7.0,916.0,28.0,1255.0,213.0
7,8.0,916.0,28.0,1255.0,213.0
8,9.0,916.0,28.0,1255.0,213.0
9,10.0,916.0,28.0,1255.0,213.0
10,11.0,916.0,28.0,1255.0,213.0
11,12.0,916.0,28.0,1255.0,213.0
12,13.0,916.0,28.0,1255.0,213.0
13,14.0,916.0,28.0,1255.0,213.0
14,15.0,916.0,28.0,1255.0,213.0
15,16.0,916.0,28.0,1255.0,213.0
16,17.0,916.0,28.0,1255.0,213.0
17,18.0,916.0,28.0,1255.0,213.0
18,19.0,916.0,28.0,1255.0,213.0
19,20.0,915.0,28.0,1253.0,213.0
20,21.0,915.0,28.0,1253.0,213.0
21,22.0,915.0,28.0,1253.0,213.0
22,23.0,915.0,28.0,1253.0,213.0
23,24.0,915.0,28.0,1253.0,213.0
24,25.0,915.0,28.0,1253.0,213.0
25,26.0,915.0,28.0,1253.0,213.0
26,27.0,915.0,28.0,1253.0,213.0
27,28.0,915.0,28.0,1253.0,213.0
28,29.0,915.0,28.0,1253.0,213.0
29,30.0,915.0,28.0,1253.0,213.0
30,31.0,915.0,28.0,1253.0,213.0
31,32.0,915.0,28.0,1253.0,213.0
32,33.0,915.0,28.0,1253.0,213.0
33,34.0,915.0,28.0,1253.0,213.0
34,35.0,915.0,28.0,1253.0,213.0
35,36.0,915.0,28.0,1253.0,213.0
36,37.0,915.0,28.0,1253.0,213.0
37,38.0,915.0,28.0,1253.0,213.0
38,39.0,915.0,28.0,1253.0,213.0
39,40.0,915.0,28.0,1255.0,214.0
40,41.0,915.0,28.0,1255.0,214.0
41,42.0,915.0,28.0,1255.0,214.0
42,43.0,915.0,28.0,1255.0,214.0
43,44.0,915.0,28.0,1255.0,214.0
44,45.0,915.0,28.0,1255.0,214.0
45,46.0,915.0,28.0,1255.0,214.0
46,47.0,915.0,28.0,1255.0,214.0
47,48.0,915.0,28.0,1255.0,214.0
48,49.0,915.0,28.0,1255.0,214.0
49,50.0,915.0,28.0,1255.0,214.0
50,51.0,915.0,28.0,1255.0,214.0
51,52.0,915.0,28.0,1255.0,214.0
52,53.0,915.0,28.0,1255.0,214.0
53,54.0,915.0,28.0,1255.0,214.0
54,55.0,915.0,28.0,1255.0,214.0
55,56.0,915.0,28.0,1255.0,214.0
56,57.0,915.0,28.0,1255.0,214.0
57,58.0,915.0,28.0,1255.0,214.0
58,59.0,915.0,28.0,1255.0,214.0
59,60.0,914.0,28.0,1255.0,214.0
60,61.0,914.0,28.0,1255.0,214.0
61,62.0,914.0,28.0,1255.0,214.0
62,63.0,914.0,28.0,1255.0,214.0
63,64.0,914.0,28.0,1255.0,214.0
